,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,power_generated,clear-night,cloudy,fog,partly-cloudy-day,partly-cloudy-night,rain,wind,8,9,10,11,12,13,14,15,16,17,Clear,Foggy,Humid,Humid and Foggy,Humid and Mostly Cloudy,Humid and Overcast,Humid and Partly Cloudy,Light Rain,Light Rain and Humid,Mostly Cloudy,Overcast,Partly Cloudy,Possible Drizzle and Humid,Possible Light Rain,Possible Light Rain and Humid,Rain,Rain and Humid
9863,0.0,38.98,39,0,8.76,321.0,5.49,7.7,1007.89,12.0,277.7,0.0,0.0,13.28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9864,0.0,39.48,39,0,7.79,317.0,6.35,7.77,1007.43,12.0,277.2,0.0,0.0,12.63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9865,0.0,39.59,40,0,6.54,316.0,6.74,7.62,1006.9,10.0,276.8,0.0,0.0,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9866,0.0,39.55,40,0,5.26,316.0,6.8,7.55,1006.17,7.0,276.7,0.0,0.0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9867,0.0,39.64,40,0,3.96,318.0,6.65,7.55,1005.52,4.0,276.8,0.0,0.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9868,0.0,39.8,40,0,2.72,319.0,6.11,6.76,1005.14,2.0,275.0,0.0,0.0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9882,0.0,28.83,29,0,7.21,337.0,1.58,2.01,1006.45,0.0,273.5,0.0,0.0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9883,0.0,31.55,32,0,6.76,323.0,1.76,1.9,1006.85,2.0,273.4,0.0,0.0,4.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9884,0.0,34.17,34,0,6.21,316.0,2.16,2.59,1007.12,5.0,273.4,0.0,0.0,8.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9885,0.0,36.38,36,0,5.72,322.0,2.89,4.09,1007.16,8.0,273.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
